----------------------------------------
[17.12.2020 | 9:22:54] All frames loaded, count: 126
[17.12.2020 | 9:22:54] Binarization frame 225 complete!
[17.12.2020 | 9:22:54] Binarization frame 226 complete!
[17.12.2020 | 9:22:54] Binarization frame 227 complete!
[17.12.2020 | 9:22:54] Binarization frame 228 complete!
[17.12.2020 | 9:22:54] Binarization frame 229 complete!
[17.12.2020 | 9:22:54] Binarization frame 230 complete!
[17.12.2020 | 9:22:54] Binarization frame 231 complete!
[17.12.2020 | 9:22:54] Binarization frame 232 complete!
[17.12.2020 | 9:22:54] Binarization frame 233 complete!
[17.12.2020 | 9:22:54] Binarization frame 234 complete!
[17.12.2020 | 9:22:54] Binarization frame 235 complete!
[17.12.2020 | 9:22:54] Binarization frame 236 complete!
[17.12.2020 | 9:22:54] Binarization frame 237 complete!
[17.12.2020 | 9:22:54] Binarization frame 238 complete!
[17.12.2020 | 9:22:54] Binarization frame 239 complete!
[17.12.2020 | 9:22:54] Binarization frame 240 complete!
[17.12.2020 | 9:22:54] Binarization frame 241 complete!
[17.12.2020 | 9:22:54] Binarization frame 242 complete!
[17.12.2020 | 9:22:54] Binarization frame 243 complete!
[17.12.2020 | 9:22:54] Binarization frame 244 complete!
[17.12.2020 | 9:22:54] Binarization frame 245 complete!
[17.12.2020 | 9:22:54] Binarization frame 246 complete!
[17.12.2020 | 9:22:54] Binarization frame 247 complete!
[17.12.2020 | 9:22:54] Binarization frame 248 complete!
[17.12.2020 | 9:22:54] Binarization frame 249 complete!
[17.12.2020 | 9:22:54] Binarization frame 250 complete!
[17.12.2020 | 9:22:54] Binarization frame 251 complete!
[17.12.2020 | 9:22:54] Binarization frame 252 complete!
[17.12.2020 | 9:22:54] Binarization frame 253 complete!
[17.12.2020 | 9:22:54] Binarization frame 254 complete!
[17.12.2020 | 9:22:54] Binarization frame 255 complete!
[17.12.2020 | 9:22:54] Binarization frame 256 complete!
[17.12.2020 | 9:22:54] Binarization frame 257 complete!
[17.12.2020 | 9:22:54] Binarization frame 258 complete!
[17.12.2020 | 9:22:54] Binarization frame 259 complete!
[17.12.2020 | 9:22:54] Binarization frame 260 complete!
[17.12.2020 | 9:22:54] Binarization frame 261 complete!
[17.12.2020 | 9:22:54] Binarization frame 262 complete!
[17.12.2020 | 9:22:54] Binarization frame 263 complete!
[17.12.2020 | 9:22:54] Binarization frame 264 complete!
[17.12.2020 | 9:22:54] Binarization frame 265 complete!
[17.12.2020 | 9:22:54] Binarization frame 266 complete!
[17.12.2020 | 9:22:54] Binarization frame 267 complete!
[17.12.2020 | 9:22:54] Binarization frame 268 complete!
[17.12.2020 | 9:22:54] Binarization frame 269 complete!
[17.12.2020 | 9:22:54] Binarization frame 270 complete!
[17.12.2020 | 9:22:54] Binarization frame 271 complete!
[17.12.2020 | 9:22:54] Binarization frame 272 complete!
[17.12.2020 | 9:22:54] Binarization frame 273 complete!
[17.12.2020 | 9:22:54] Binarization frame 274 complete!
[17.12.2020 | 9:22:54] Binarization frame 275 complete!
[17.12.2020 | 9:22:54] Binarization frame 276 complete!
[17.12.2020 | 9:22:54] Binarization frame 277 complete!
[17.12.2020 | 9:22:54] Binarization frame 278 complete!
[17.12.2020 | 9:22:54] Binarization frame 279 complete!
[17.12.2020 | 9:22:54] Binarization frame 280 complete!
[17.12.2020 | 9:22:54] Binarization frame 281 complete!
[17.12.2020 | 9:22:54] Binarization frame 282 complete!
[17.12.2020 | 9:22:54] Binarization frame 283 complete!
[17.12.2020 | 9:22:54] Binarization frame 284 complete!
[17.12.2020 | 9:22:54] Binarization frame 285 complete!
[17.12.2020 | 9:22:54] Binarization frame 286 complete!
[17.12.2020 | 9:22:54] Binarization frame 287 complete!
[17.12.2020 | 9:22:54] Binarization frame 288 complete!
[17.12.2020 | 9:22:54] Binarization frame 289 complete!
[17.12.2020 | 9:22:54] Binarization frame 290 complete!
[17.12.2020 | 9:22:54] Binarization frame 291 complete!
[17.12.2020 | 9:22:54] Binarization frame 292 complete!
[17.12.2020 | 9:22:54] Binarization frame 293 complete!
[17.12.2020 | 9:22:54] Binarization frame 294 complete!
[17.12.2020 | 9:22:54] Binarization frame 295 complete!
[17.12.2020 | 9:22:54] Binarization frame 296 complete!
[17.12.2020 | 9:22:54] Binarization frame 297 complete!
[17.12.2020 | 9:22:54] Binarization frame 298 complete!
[17.12.2020 | 9:22:54] Binarization frame 299 complete!
[17.12.2020 | 9:22:54] Binarization frame 300 complete!
[17.12.2020 | 9:22:54] Binarization frame 301 complete!
[17.12.2020 | 9:22:54] Binarization frame 302 complete!
[17.12.2020 | 9:22:54] Binarization frame 303 complete!
[17.12.2020 | 9:22:54] Binarization frame 304 complete!
[17.12.2020 | 9:22:54] Binarization frame 305 complete!
[17.12.2020 | 9:22:54] Binarization frame 306 complete!
[17.12.2020 | 9:22:54] Binarization frame 307 complete!
[17.12.2020 | 9:22:54] Binarization frame 308 complete!
[17.12.2020 | 9:22:54] Binarization frame 309 complete!
[17.12.2020 | 9:22:54] Binarization frame 310 complete!
[17.12.2020 | 9:22:54] Binarization frame 311 complete!
[17.12.2020 | 9:22:54] Binarization frame 312 complete!
[17.12.2020 | 9:22:54] Binarization frame 313 complete!
[17.12.2020 | 9:22:54] Binarization frame 314 complete!
[17.12.2020 | 9:22:54] Binarization frame 315 complete!
[17.12.2020 | 9:22:54] Binarization frame 316 complete!
[17.12.2020 | 9:22:54] Binarization frame 317 complete!
[17.12.2020 | 9:22:54] Binarization frame 318 complete!
[17.12.2020 | 9:22:54] Binarization frame 319 complete!
[17.12.2020 | 9:22:54] Binarization frame 320 complete!
[17.12.2020 | 9:22:54] Binarization frame 321 complete!
[17.12.2020 | 9:22:54] Binarization frame 322 complete!
[17.12.2020 | 9:22:54] Binarization frame 323 complete!
[17.12.2020 | 9:22:54] Binarization frame 324 complete!
[17.12.2020 | 9:22:54] Binarization frame 325 complete!
[17.12.2020 | 9:22:54] Binarization frame 326 complete!
[17.12.2020 | 9:22:54] Binarization frame 327 complete!
[17.12.2020 | 9:22:54] Binarization frame 328 complete!
[17.12.2020 | 9:22:54] Binarization frame 329 complete!
[17.12.2020 | 9:22:54] Binarization frame 330 complete!
[17.12.2020 | 9:22:54] Binarization frame 331 complete!
[17.12.2020 | 9:22:54] Binarization frame 332 complete!
[17.12.2020 | 9:22:54] Binarization frame 333 complete!
[17.12.2020 | 9:22:54] Binarization frame 334 complete!
[17.12.2020 | 9:22:54] Binarization frame 335 complete!
[17.12.2020 | 9:22:54] Binarization frame 336 complete!
[17.12.2020 | 9:22:54] Binarization frame 337 complete!
[17.12.2020 | 9:22:54] Binarization frame 338 complete!
[17.12.2020 | 9:22:54] Binarization frame 339 complete!
[17.12.2020 | 9:22:54] Binarization frame 340 complete!
[17.12.2020 | 9:22:54] Binarization frame 341 complete!
[17.12.2020 | 9:22:54] Binarization frame 342 complete!
[17.12.2020 | 9:22:54] Binarization frame 343 complete!
[17.12.2020 | 9:22:54] Binarization frame 344 complete!
[17.12.2020 | 9:22:54] Binarization frame 345 complete!
[17.12.2020 | 9:22:54] Binarization frame 346 complete!
[17.12.2020 | 9:22:54] Binarization frame 347 complete!
[17.12.2020 | 9:22:54] Binarization frame 348 complete!
[17.12.2020 | 9:22:54] Binarization frame 349 complete!
[17.12.2020 | 9:22:54] Binarization frame 350 complete!
[17.12.2020 | 9:22:54] Binarization frame 351 complete!
[17.12.2020 | 9:22:54] Binarization frame 352 complete!
[17.12.2020 | 9:22:54] Binarization frame 353 complete!
[17.12.2020 | 9:22:54] Binarization frame 354 complete!
[17.12.2020 | 9:22:54] Binarization frame 355 complete!
[17.12.2020 | 9:22:54] Binarization frame 356 complete!
[17.12.2020 | 9:22:54] Binarization frame 357 complete!
[17.12.2020 | 9:22:54] Binarization frame 358 complete!
[17.12.2020 | 9:22:54] Binarization frame 359 complete!
[17.12.2020 | 9:22:54] Binarization frame 360 complete!
[17.12.2020 | 9:22:54] Binarization frame 361 complete!
[17.12.2020 | 9:22:54] Binarization frame 362 complete!
[17.12.2020 | 9:22:54] Binarization frame 363 complete!
[17.12.2020 | 9:22:54] Binarization frame 364 complete!
[17.12.2020 | 9:22:54] Binarization frame 365 complete!
[17.12.2020 | 9:22:54] Binarization frame 366 complete!
[17.12.2020 | 9:22:54] Binarization frame 367 complete!
[17.12.2020 | 9:22:54] Binarization frame 368 complete!
[17.12.2020 | 9:22:54] Binarization frame 369 complete!
[17.12.2020 | 9:22:54] Binarization frame 370 complete!
[17.12.2020 | 9:22:54] Binarization frame 371 complete!
[17.12.2020 | 9:22:54] Binarization frame 372 complete!
[17.12.2020 | 9:22:54] Binarization frame 373 complete!
[17.12.2020 | 9:22:54] Binarization frame 374 complete!
[17.12.2020 | 9:22:54] Binarization frame 375 complete!
[17.12.2020 | 9:22:54] Binarization frame 376 complete!
[17.12.2020 | 9:22:54] Binarization frame 377 complete!
[17.12.2020 | 9:22:54] Binarization frame 378 complete!
[17.12.2020 | 9:22:54] Binarization frame 379 complete!
[17.12.2020 | 9:22:54] Binarization frame 380 complete!
[17.12.2020 | 9:22:54] Binarization frame 381 complete!
[17.12.2020 | 9:22:54] Binarization frame 382 complete!
[17.12.2020 | 9:22:54] Binarization frame 383 complete!
[17.12.2020 | 9:22:54] Binarization frame 384 complete!
[17.12.2020 | 9:22:54] Binarization frame 385 complete!
[17.12.2020 | 9:22:54] Binarization frame 386 complete!
[17.12.2020 | 9:22:54] Binarization frame 387 complete!
[17.12.2020 | 9:22:54] Binarization frame 388 complete!
[17.12.2020 | 9:22:54] Binarization frame 389 complete!
[17.12.2020 | 9:22:54] Binarization frame 390 complete!
[17.12.2020 | 9:22:54] Binarization frame 391 complete!
[17.12.2020 | 9:22:54] Binarization frame 392 complete!
[17.12.2020 | 9:22:54] Binarization frame 393 complete!
[17.12.2020 | 9:22:54] Binarization frame 394 complete!
[17.12.2020 | 9:22:54] Binarization frame 395 complete!
[17.12.2020 | 9:22:54] Binarization frame 396 complete!
[17.12.2020 | 9:22:54] Binarization frame 397 complete!
[17.12.2020 | 9:22:54] Binarization frame 398 complete!
[17.12.2020 | 9:22:54] Binarization frame 399 complete!
[17.12.2020 | 9:22:54] Binarization frame 400 complete!
[17.12.2020 | 9:22:54] Binarization is done! Time spent: 1295ms
[17.12.2020 | 9:22:54] Calculation frame 0 complete!
[17.12.2020 | 9:22:54] Calculation frame 1 complete!
[17.12.2020 | 9:22:54] Calculation frame 2 complete!
[17.12.2020 | 9:22:54] Calculation frame 3 complete!
[17.12.2020 | 9:22:54] Calculation frame 4 complete!
[17.12.2020 | 9:22:54] Calculation frame 5 complete!
[17.12.2020 | 9:22:54] Calculation frame 6 complete!
[17.12.2020 | 9:22:54] Calculation frame 7 complete!
[17.12.2020 | 9:22:54] Calculation frame 8 complete!
[17.12.2020 | 9:22:54] Calculation frame 9 complete!
[17.12.2020 | 9:22:54] Calculation frame 10 complete!
[17.12.2020 | 9:22:54] Calculation frame 11 complete!
[17.12.2020 | 9:22:54] Calculation frame 12 complete!
[17.12.2020 | 9:22:54] Calculation frame 13 complete!
[17.12.2020 | 9:22:54] Calculation frame 14 complete!
[17.12.2020 | 9:22:54] Calculation frame 15 complete!
[17.12.2020 | 9:22:54] Calculation frame 16 complete!
[17.12.2020 | 9:22:54] Calculation frame 17 complete!
[17.12.2020 | 9:22:54] Calculation frame 18 complete!
[17.12.2020 | 9:22:54] Calculation frame 19 complete!
[17.12.2020 | 9:22:54] Calculation frame 20 complete!
[17.12.2020 | 9:22:54] Calculation frame 21 complete!
[17.12.2020 | 9:22:54] Calculation frame 22 complete!
[17.12.2020 | 9:22:54] Calculation frame 23 complete!
[17.12.2020 | 9:22:54] Calculation frame 24 complete!
[17.12.2020 | 9:22:54] Calculation frame 25 complete!
[17.12.2020 | 9:22:54] Calculation frame 26 complete!
[17.12.2020 | 9:22:54] Calculation frame 27 complete!
[17.12.2020 | 9:22:54] Calculation frame 28 complete!
[17.12.2020 | 9:22:54] Calculation frame 29 complete!
[17.12.2020 | 9:22:54] Calculation frame 30 complete!
[17.12.2020 | 9:22:54] Calculation frame 31 complete!
[17.12.2020 | 9:22:54] Calculation frame 32 complete!
[17.12.2020 | 9:22:54] Calculation frame 33 complete!
[17.12.2020 | 9:22:54] Calculation frame 34 complete!
[17.12.2020 | 9:22:54] Calculation frame 35 complete!
[17.12.2020 | 9:22:54] Calculation frame 36 complete!
[17.12.2020 | 9:22:54] Calculation frame 37 complete!
[17.12.2020 | 9:22:54] Calculation frame 38 complete!
[17.12.2020 | 9:22:54] Calculation frame 39 complete!
[17.12.2020 | 9:22:54] Calculation frame 40 complete!
[17.12.2020 | 9:22:54] Calculation frame 41 complete!
[17.12.2020 | 9:22:54] Calculation frame 42 complete!
[17.12.2020 | 9:22:54] Calculation frame 43 complete!
[17.12.2020 | 9:22:54] Calculation frame 44 complete!
[17.12.2020 | 9:22:54] Calculation frame 45 complete!
[17.12.2020 | 9:22:54] Calculation frame 46 complete!
[17.12.2020 | 9:22:54] Calculation frame 47 complete!
[17.12.2020 | 9:22:54] Calculation frame 48 complete!
[17.12.2020 | 9:22:54] Calculation frame 49 complete!
[17.12.2020 | 9:22:54] Calculation frame 50 complete!
[17.12.2020 | 9:22:54] Calculation frame 51 complete!
[17.12.2020 | 9:22:54] Calculation frame 52 complete!
[17.12.2020 | 9:22:54] Calculation frame 53 complete!
[17.12.2020 | 9:22:54] Calculation frame 54 complete!
[17.12.2020 | 9:22:54] Calculation frame 55 complete!
[17.12.2020 | 9:22:54] Calculation frame 56 complete!
[17.12.2020 | 9:22:54] Calculation frame 57 complete!
[17.12.2020 | 9:22:54] Calculation frame 58 complete!
[17.12.2020 | 9:22:54] Calculation frame 59 complete!
[17.12.2020 | 9:22:54] Calculation frame 60 complete!
[17.12.2020 | 9:22:54] Calculation frame 61 complete!
[17.12.2020 | 9:22:54] Calculation frame 62 complete!
[17.12.2020 | 9:22:54] Calculation frame 63 complete!
[17.12.2020 | 9:22:54] Calculation frame 64 complete!
[17.12.2020 | 9:22:54] Calculation frame 65 complete!
[17.12.2020 | 9:22:54] Calculation frame 66 complete!
[17.12.2020 | 9:22:54] Calculation frame 67 complete!
[17.12.2020 | 9:22:54] Calculation frame 68 complete!
[17.12.2020 | 9:22:54] Calculation frame 69 complete!
[17.12.2020 | 9:22:54] Calculation frame 70 complete!
[17.12.2020 | 9:22:54] Calculation frame 71 complete!
[17.12.2020 | 9:22:54] Calculation frame 72 complete!
[17.12.2020 | 9:22:54] Calculation frame 73 complete!
[17.12.2020 | 9:22:54] Calculation frame 74 complete!
[17.12.2020 | 9:22:54] Calculation frame 75 complete!
[17.12.2020 | 9:22:54] Calculation frame 76 complete!
[17.12.2020 | 9:22:54] Calculation frame 77 complete!
[17.12.2020 | 9:22:54] Calculation frame 78 complete!
[17.12.2020 | 9:22:54] Calculation frame 79 complete!
[17.12.2020 | 9:22:54] Calculation frame 80 complete!
[17.12.2020 | 9:22:54] Calculation frame 81 complete!
[17.12.2020 | 9:22:54] Calculation frame 82 complete!
[17.12.2020 | 9:22:54] Calculation frame 83 complete!
[17.12.2020 | 9:22:54] Calculation frame 84 complete!
[17.12.2020 | 9:22:54] Calculation frame 85 complete!
[17.12.2020 | 9:22:54] Calculation frame 86 complete!
[17.12.2020 | 9:22:54] Calculation frame 87 complete!
[17.12.2020 | 9:22:54] Calculation frame 88 complete!
[17.12.2020 | 9:22:54] Calculation frame 89 complete!
[17.12.2020 | 9:22:54] Calculation frame 90 complete!
[17.12.2020 | 9:22:54] Calculation frame 91 complete!
[17.12.2020 | 9:22:54] Calculation frame 92 complete!
[17.12.2020 | 9:22:54] Calculation frame 93 complete!
[17.12.2020 | 9:22:54] Calculation frame 94 complete!
[17.12.2020 | 9:22:54] Calculation frame 95 complete!
[17.12.2020 | 9:22:54] Calculation frame 96 complete!
[17.12.2020 | 9:22:54] Calculation frame 97 complete!
[17.12.2020 | 9:22:54] Calculation frame 98 complete!
[17.12.2020 | 9:22:54] Calculation frame 99 complete!
[17.12.2020 | 9:22:54] Calculation frame 100 complete!
[17.12.2020 | 9:22:54] Calculation frame 101 complete!
[17.12.2020 | 9:22:54] Calculation frame 102 complete!
[17.12.2020 | 9:22:54] Calculation frame 103 complete!
[17.12.2020 | 9:22:54] Calculation frame 104 complete!
[17.12.2020 | 9:22:54] Calculation frame 105 complete!
[17.12.2020 | 9:22:54] Calculation frame 106 complete!
[17.12.2020 | 9:22:54] Calculation frame 107 complete!
[17.12.2020 | 9:22:54] Calculation frame 108 complete!
[17.12.2020 | 9:22:54] Calculation frame 109 complete!
[17.12.2020 | 9:22:54] Calculation frame 110 complete!
[17.12.2020 | 9:22:54] Calculation frame 111 complete!
[17.12.2020 | 9:22:54] Calculation frame 112 complete!
[17.12.2020 | 9:22:54] Calculation frame 113 complete!
[17.12.2020 | 9:22:54] Calculation frame 114 complete!
[17.12.2020 | 9:22:54] Calculation frame 115 complete!
[17.12.2020 | 9:22:54] Calculation frame 116 complete!
[17.12.2020 | 9:22:54] Calculation frame 117 complete!
[17.12.2020 | 9:22:54] Calculation frame 118 complete!
[17.12.2020 | 9:22:54] Calculation frame 119 complete!
[17.12.2020 | 9:22:54] Calculation frame 120 complete!
[17.12.2020 | 9:22:54] Calculation frame 121 complete!
[17.12.2020 | 9:22:54] Calculation frame 122 complete!
[17.12.2020 | 9:22:54] Calculation frame 123 complete!
[17.12.2020 | 9:22:54] Calculation frame 124 complete!
[17.12.2020 | 9:22:54] Calculation frame 125 complete!
[17.12.2020 | 9:22:54] Calculation frame 126 complete!
[17.12.2020 | 9:22:54] Calculation frame 127 complete!
[17.12.2020 | 9:22:54] Calculation frame 128 complete!
[17.12.2020 | 9:22:54] Calculation frame 129 complete!
[17.12.2020 | 9:22:54] Calculation frame 130 complete!
[17.12.2020 | 9:22:54] Calculation frame 131 complete!
[17.12.2020 | 9:22:54] Calculation frame 132 complete!
[17.12.2020 | 9:22:54] Calculation frame 133 complete!
[17.12.2020 | 9:22:54] Calculation frame 134 complete!
[17.12.2020 | 9:22:54] Calculation frame 135 complete!
[17.12.2020 | 9:22:54] Calculation frame 136 complete!
[17.12.2020 | 9:22:54] Calculation frame 137 complete!
